,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
6910,Myrskyn jälkeen,Drama,5.6,A massive storm has devastated the infrastructure of Finland. Police Commissioner Rauni Kolehmainen tries her best to keep order at home and in her community.,Kaarina Hazard,91,0,Thunderstorm,Spring
6911,Their Own Desire,"Drama, Romance",5.8,"Lally is a rich girl whose father writes books and plays Polo. After 23 years of marriage, he decides to divorce his wife, and marry Mrs. Chevers. This sours Lally on all men, while on ...                See full summary »",E. Mason Hopper,718,0,Thunderstorm,Spring
6912,The Mundane Goddess,"Short, Comedy",6.2,"Hera, Queen of the Greek gods, is forced to live a mundane existence among modern day humans. In an effort to cope with this reality she visits a therapist.",Henco J.,129,0,Thunderstorm,Spring
6913,The Bridge,"Drama, Romance",6.7,"When Isobel Hetherington and her three young daughters take up their seaside residence in the hot summer of 1887, life seems idyllic. But the arrival of Phillip Wilson Steer for his annual ...                See full summary »",Syd Macartney,136,0,Thunderstorm,Summer
6914,Bränningar,Drama,5.6,"Daniel has been forced by his father to become a priest. After graduating, he comes to a parish in Hälsingland. During one stormy night, he seduces a young girl, Karin, and rapes her. ...                See full summary »",Ivar Johansson,90,0,Thunderstorm,Summer
6915,Surviving Disaster,"Action, Adventure, Reality-TV",8.4,"Surviving Disaster is unlike any other series on television as it may actually save a life. What's the best way to survive an earthquake, home invasion, plane hijacking, bioterrorism, hurricane or even a nuclear attack?",Cade Courtley,212,0,Thunderstorm,Spring
6916,Asesinos inocentes,"Comedy, Crime, Mystery",5.7,"In order to get out of an extreme situation, would you consider committing murder if the victim himself is asking for it?",Gonzalo Bendala,522,0,Thunderstorm,Summer
6917,Song of the Islands,"Comedy, Music, Romance",6.2,"With his sidekick Rusty, Jeff Harper sails to paradisiacal tropical isle Ahmi-Oni to bargain on behalf of his cattle baron father for land owned by transplanted Irishman Dennis O'Brien. But...                See full summary »",Walter Lang,266,0,Thunderstorm,Summer
6918,Eine murul,"Animation, Short",7.0,"Several episodes, each focusing on a different figure. Towards the end they all come together to replicate the famous painting by Édouard Manet that provides the title.",Priit Pärn,311,0,Thunderstorm,Summer
6919,Touching Wild Horses,Drama,6.5,"After a car accident that claimed his father and sister's lives and left his mother in a coma, a boy is sent to live with his reclusive aunt on Sable Island, a world-renowned wild horse preserve.",Eleanore Lindo,498,0,Thunderstorm,Spring
6920,Sail a Crooked Ship,Comedy,6.1,An odd assortment of criminals steals a mothballed Liberty vessel to use it as a getaway after a planned bank robbery in Boston.,Irving Brecher,240,0,Thunderstorm,Spring
6921,Ploning,"Drama, Romance",6.6,"Ploning, is a story of one mans search for the enigmatic woman who has deeply wounded him in the past. Having grown up in an illegal Taiwanese fishing vessel, Rodrigo (30 years old) returns...                See full synopsis »",Dante Nico Garcia,123,0,Thunderstorm,Spring
6922,14 Hours,"Action, Biography, Drama",5.0,"While Tropical Storm Allison brings one of the worst floods to hit Houston rages outside, the staff of Hermann hospital races against time to ensure hundreds of patients are evacuated safely.",Gregg Champion,318,0,Thunderstorm,Spring
6923,Slim,"Drama, Romance",6.4,"A veteran lineman takes an awe-struck young farmer under his wing, but problems arise when he introduces him to his occasional girlfriend, a pretty nurse.",Ray Enright,414,0,Thunderstorm,Spring
6924,Ra,Documentary,7.5,"Documentary of the Ra expedition organized by Thor Heyerdahl, which crossed the Atlantic Ocean in a papyrus boat in 1969 and 1970.",Lennart Ehrenborg,292,0,Thunderstorm,Summer
6925,Daughter of the Jungle,Adventure,4.6,"An airplane, carrying policeman and gangsters, crash-lands in a jungle, where they discover a white girl and her father, lost twelve years previously in another plane crash. The father and ...                See full summary »",George Blair,68,0,Thunderstorm,Spring
6926,Sibirska ledi Magbet,"Drama, Mystery, Romance",6.9,"In what might be termed Russo-Shakespearean noir, a ruthless woman's adulterous affair with a drifter sets in motion a chain-reaction of murder and deception in a remote village in 19th Century Mtsensk.",Andrzej Wajda,367,0,Thunderstorm,Spring
6927,Ceiling Zero,"Adventure, Drama, Romance",6.7,"War veteran pilots Dizzy Davis, Texas Clark and Jake Lee are working in an airline in Newark. Dizzy is flirting with the girlfriend of a younger pilot and, due to this, he feigns illness to...                See full summary »",Howard Hawks,750,0,Thunderstorm,Summer
6928,Outside Ozona,"Comedy, Drama, Romance",6.0,A drama revolving around a group of strangers brought together by a common occurrence as well as listening to the same radio station.,J.S. Cardone,973,$0.01M,Thunderstorm,Summer
6929,8: The Mormon Proposition,Documentary,7.1,"A scorching indictment of the Mormon Church's historic involvement in the promotion & passage of California's Proposition 8 and the Mormon religion's secretive, decades-long campaign against LGBT human rights.",Reed Cowan,1257,$0.10M,Thunderstorm,Spring
6930,O lipotaktis,"Drama, Romance, Thriller",5.8,A Greek army deserter hides out in a farm where a neglected wife and a passionate farm girl destructively compete on who should win his affection.,Christos Kefalas,78,0,Thunderstorm,Summer
6931,Nobody's Perfect,Comedy,6.7,"In 1960's Japan, mischievous American seaman Doc Willoughby tries to outwit his superiors on the U.S.S. Bustard, attempts to woo U.S. Navy, Lt. Tomiko Momoyama and aims to return a stolen Buddha statue to its Japanese temple.",Alan Rafkin,114,0,Thunderstorm,Summer
6932,The Lost City,"Action, Adventure, Romance",4.9,"An evil scientist plots to take over the world from his base in Africa, where he has invented a machine that can cause earthquakes.",Harry Revier,311,0,Thunderstorm,Spring
6933,Teri Baahon Mein,Romance,6.3,Teri bahon mein amar saroj,Umesh Mehra,30,0,Thunderstorm,Summer
6934,Wake Up and Dream,"Adventure, Drama, Family",6.2,"A little girl asks her guardians to take her by boat to a nearby swamp believing her older brother, a sailor who recently went M.I.A. in WWII, is somehow there. She finds a grumpy old Crusoe-like hermit, instead, but there's still hope.",Lloyd Bacon,154,0,Thunderstorm,Spring
6935,Ice Bound,Drama,6.2,One woman's strength and courage under the most extreme weather conditions.,Roger Spottiswoode,575,0,Thunderstorm,Summer
6936,Spook Chasers,"Comedy, Crime, Horror",5.4,"The gang gets stuck during a thunderstorm in a spooky mansion, where they run into ghosts, gorillas and various ""apparitions.""",George Blair,283,0,Thunderstorm,Summer
6937,Lost in the Dark,"Action, Crime, Thriller",5.4,"A young girl, who has recently lost her eyesight to a degenerative disease, struggles to outwit an escaped convict who has taken refuge in her grandmother's cabin during a ferocious snowstorm.",Robert Malenfant,419,0,Thunderstorm,Summer
6938,Broken Chains,"Action, Adventure, Biography",8.3,Brianna married a man she thought would protect her forever. But soon discovers Vincenzo has a dark secret and an evil family with connections controlling his narcissistic sociopathic traits and will go to any lengths to keep the secret controlled and hidden.,Shannon Brown,16,0,Thunderstorm,Summer
6939,Diva Diaries,"Comedy, Drama",3.8,Diva Diaries takes you inside the fast pace world of 5 beautiful ladies on a mission to take the world by storm and look good doing it.,Tangi Miller,16,0,Thunderstorm,Spring
6940,Noita palaa elämään,"Drama, Fantasy, Horror",6.4,"Archaeological team unearths a body of a young woman, who was told to be a witch buried in the bog some 300 years ago. Soon a naked woman appears and drives the men of the village crazy. ...                See full summary »",Roland af Hällström,423,0,Thunderstorm,Summer
6941,The Riddle of the Stinson,Drama,6.8,"In 1937, a routine passenger and mail flight crashes during bad weather on a flight between Brisbane and Sydney. A local bushman begins a search, and finds the wreckage and two survivors ten days after the crash.",Chris Noonan,124,0,Thunderstorm,Summer
6942,Osobisty pamietnik grzesznika przez niego samego spisany,Drama,6.7,"A recently resurrected corpse recounts his life story, focusing on his strange relationship with a murderous alter-ego.",Wojciech Has,169,0,Thunderstorm,Summer
6943,Eyes of the Beholder,"Horror, Mystery, Thriller",4.1,A crazed escaped mental patient holds 2 couples hostage and terrorizes them in a Malibu beach home during a stormy night.,Lawrence L. Simeone,198,0,Thunderstorm,Spring
6944,Nite Tales: The Movie,"Horror, Thriller",3.9,"Nite Tales is a horror anthology introduced by ""Flava Flav"" that includes two movies, Karma and Storm. ""Karma"" teaches four young thieves that crime does not pay. In ""Storm"" college ...                See full summary »",Deon Taylor,332,0,Thunderstorm,Summer
6945,The Squall,"Drama, Music, Romance",4.7,"The activities of Nubi (Myrna Loy), a minx-like, Hungarian gypsy girl who, while on the run from her abusive husband, takes shelter in a farmhouse, where she seduces and holds in thrall all the male members of the family.",Alexander Korda,422,0,Thunderstorm,Summer
6946,Grass: A Nation's Battle for Life,Documentary,7.7,The struggles of a hardscrabble Iranian nomadic tribe as they journey through bleak country to reach the grasslands that will save their livestock.,Merian C. Cooper,1147,0,Thunderstorm,Summer
6947,The Love Light,Drama,6.4,"Angela maintains a coastal lighthouse in Italy, where she awaits the return of her brothers from the war. She learns they are casualties and takes solace in the arms of an American sailor washed ashore",Frances Marion,394,$0.69M,Thunderstorm,Summer
6948,Il tempo si è fermato,Drama,7.5,Two middle-aged men work as caretakers on an isolated dam construction site high in the snow-capped Italian Alps. When one of them leaves for the valley to spend Christmas vacation with his...                See full summary »,Ermanno Olmi,458,0,Thunderstorm,Spring
6949,The White Vault,"Adventure, Horror",8.5,The collected records of a repair team sent to Outpost Fristed in the vast white wastes of Svalbard.,Hem Cleveland,75,0,Thunderstorm,Summer
6950,Professor Beware,"Comedy, Music, Romance",6.3,"Egyptologist, Dean Lambert (Lloyd), accused of car-theft, skips bail and begins a cross-country trek to join a group in New York headed for Egypt. With the police close on his trail he gets in and out of scrapes along the way.",Elliott Nugent,219,$0.80M,Thunderstorm,Spring
6951,Reijo niku-dorei,"Drama, Romance, Thriller",6.8,"In a summer in Shonan village, Sumiko is the daughter of an important upper-class Shikishima family, she loves to paint pictures, is going through a cooling-off of an arranged marriage that did not work out.",Junichi Suzuki,33,0,Thunderstorm,Spring
6952,Un par de zapatos del '32,Thriller,5.5,"A man hires a contract killer to snuff the husband of the woman he loves. When the job is done recklessly, and innocent lives are taken, he opts to exterminate the hit-man himself. ...                See full summary »",Rafael Romero Marchent,124,0,Thunderstorm,Summer
6953,La nave delle donne maledette,"Adventure, Drama",7.2,"Isabella's family is noble but half-ruined, so her intended marriage with a dignitary of the kingdom appears as a godsend for all its members. But Isabella finds herself accused of ...                See full summary »",Raffaello Matarazzo,141,0,Thunderstorm,Summer
6954,Jhoota Kahin Ka,"Comedy, Drama, Romance",6.8,"The Rai family consists of four: father, mother, Shanti, and two sons, Ajay and Vijay. While traveling on a ship, they run into a severe storm, which leads to the ship capsizing, and the ...                See full summary »",Ravi Tandon,87,0,Thunderstorm,Spring
6955,Waga haha no ki,Drama,7.3,"Based on an autobiographical novel by Inoue Yasushi, the film chronicles the passage of fifteen years within a family struggling with abandonment, resentment and decline with old age. As ...                See full summary »",Masato Harada,457,0,Thunderstorm,Spring
6956,Sheltered,Horror,4.2,"Awkward, but friendly and handsome bartender Joey allows a group of vacationers to seek refuge in his house on the eve of a big storm. The vacationers soon discover that there's a crazed ...                See full summary »",Josh Stoddard,216,0,Thunderstorm,Summer
6957,Captain Salvation,"Drama, Romance",6.8,"A returning seminary student goes up against a small New England town when he comes to the aid of a prostitute who has been injured, despite the townspeople's calls for her to be run out of...                See full summary »",John S. Robertson,326,0,Thunderstorm,Summer
6958,Pantry Panic,"Animation, Short, Comedy",6.8,"Woody fails to go South for the winter, leaving him vulnerable to a starving cat. But the cat is just as vulnerable to a starving Woody.",Walter Lantz,457,0,Thunderstorm,Spring
6959,China Venture,"Adventure, Drama, War",5.5,"During WW2, an American commando team is sent to rescue the prisoner of a warlord in Japanese-occupied China.",Don Siegel,134,0,Thunderstorm,Spring
6960,Rakkauden risti,"Drama, Romance",7.0,"The daughter of a lighthouse keeper runs away with a shipwrecked businessman to the city. But instead of her dreams, she finds herself selling herself in the streets, until a painter finds her as an ideal model for his next painting.",Teuvo Tulio,226,0,Thunderstorm,Summer
6961,Gold Rush Maisie,"Comedy, Drama, Music",6.2,"Maisie Ravier finds herself stranded in an Arizona ghost town with a family of migrant dust bowl refugees. The ghost town, it turns out, may have a gold mine.",Edwin L. Marin,420,0,Thunderstorm,Summer
6962,Nang iniwan mo ako,"Drama, Romance",6.5,A middle-aged homemaker's world crumbles as her husband leaves her for a younger woman. Will she be able to face the challenges that follow this harsh breakup?,Jose Javier Reyes,17,0,Thunderstorm,Spring
6963,Payment Deferred,"Crime, Drama",6.8,A man poisons his nephew out of desperation for money.,Lothar Mendes,749,0,Thunderstorm,Spring
6964,Alenkiy tsvetochek,"Animation, Short, Fantasy",7.5,Nastenka asks her good father to bring her a scarlet flower from his journey One thing she doesn't know: the flower belongs to a horrible beast.,Lev Atamanov,1159,0,Thunderstorm,Summer
6965,Superstorm,"Drama, Sci-Fi, Thriller",5.4,"Superstorm is a three-part British docudrama miniseries written and directed by Julian Simpson, about a group of scientists that try to divert and weaken hurricanes using cloud seeding. ...                See full summary »",Nicola Stephenson,483,0,Thunderstorm,Spring
6966,Hawk of the Wilderness,Adventure,7.4,"An expedition arrives on an uncharted jungle island to rescue the local natives, led by a jungle boy, from a volcano that is about to erupt.",John English,82,0,Thunderstorm,Summer
6967,Rescue Heroes: The Movie,"Animation, Action, Family",5.7,The Rescue Heroes face their biggest challenge yet as a series of freak lightning storms begin to wreak havoc worldwide.,Bill Giggie,174,0,Thunderstorm,Spring
6968,Film Film Film,"Animation, Short, Comedy",7.9,Classic Soviet cartoon about the film industry.,Fyodor Khitruk,1575,0,Thunderstorm,Summer
6969,Usher,"Short, Horror",5.5,"Young writer Truman Jones travels to the home of old, eccentric poet Roderick Usher. He is seeking wisdom from an aging poet at his creepy mansion.",Curtis Harrington,208,0,Thunderstorm,Summer
6970,Anochecer,"Short, Drama, Romance",7.1,"There's a moment, just one, where all the circumstances are given, and it is time to face the first step.",Lucas Mac Dougall,55,0,Thunderstorm,Spring
6971,"Long Life, Happiness & Prosperity","Comedy, Drama, Family",6.6,Twelve-year-old Mindy Ho inexpertly tries Taoist magic to fix her single mother's financial situation and seemingly hopeless romantic prospects.,Mina Shum,593,0,Thunderstorm,Summer
6972,Back-Room Boy,"Comedy, Mystery",6.2,"A lowly BBC employee pulls a prank at the studio and finds himself transferred to an isolated island where he is to set up a weather station at a lighthouse. As if in a fantasy, a ship ...                See full summary »",Herbert Mason,298,0,Thunderstorm,Spring
6973,Hesburgh,Documentary,8.0,"Amidst some of the most tumultuous times in our nation's history, Rev. Theodore Hesburgh finds himself in the eye of the storm as he works to advance the causes of peace and equal rights.",Patrick Creadon,124,$0.20M,Thunderstorm,Summer
6974,Revenge of the Gweilo,"Action, Thriller",5.0,An ex-cop goes on a rampage after his fiance is killed by the Asian mafia.,Nathan Hill,84,0,Thunderstorm,Summer
6975,The Mad Doctor,"Animation, Short, Adventure",7.6,Mickey must save Pluto from a mad doctor's lair.,David Hand,1535,0,Thunderstorm,Spring
6976,Calm at Sunset,Drama,6.2,The struggle between a father and son at odds over the youth's career choice.,Daniel Petrie,120,0,Thunderstorm,Summer
6977,Mystery House,"Adventure, Crime, Mystery",5.5,"When a prominent banker is murdered while on a hunting trip, the dead man's daughter, Gwen Kingery (Anne Nagel), calls in private eye Lance O'Leary (Dick Purcell) to investigate.",Noel M. Smith,568,0,Thunderstorm,Summer
6978,Vahsi Kan,"Action, Adventure",4.4,Turkish remake of 'Rambo: First Blood'.,Çetin Inanç,379,0,Thunderstorm,Spring
6979,The First Christmas: The Story of the First Christmas Snow,"Animation, Family, Fantasy",6.9,"A young shepherd, Lucas (David Kelley), is blinded by lightening, and some kindly nuns at a nearby abbey take him in. Sister Catherine (Iris Rainer) describes snow to Lucas, who has never ...                See full summary »",Jules Bass,563,0,Thunderstorm,Summer
6980,The Sculptress,"Horror, Thriller",3.6,A young artist follows her passion to study at one of the finest art institutes in San Francisco.,Ian Merrick,211,$0.01M,Thunderstorm,Spring
6981,Four Girls in White,"Action, Comedy, Drama",6.0,Four student nurses cope with life and career problems while interning at a major hospital.,S. Sylvan Simon,293,0,Thunderstorm,Spring
6982,Straziami ma di baci saziami,Comedy,6.9,"Marino decided to go to Rome to win back his girlfriend. After many hardships their paths eventually crossed but to his shock, he discovered that she is now married to a deaf and mute man.",Dino Risi,579,0,Thunderstorm,Spring
6983,A Wicked Woman,"Drama, Romance",6.5,"Naomi is almost to term with her fourth child when Ed decides to leave taking all their money and the oldest son Curtis. With the sheriff after him, he is in no mood to think of his family....                See full summary »",Charles Brabin,214,0,Thunderstorm,Spring
6984,The Narrow Corner,Drama,6.3,An Englishman sought for murder escapes to South Seas island.,Alfred E. Green,330,0,Thunderstorm,Spring
6985,Let Me Survive,Drama,4.3,"A mother and young daughter are coerced into joining her ex-husband on a stolen yacht bound for the west coast of Africa. Five days into the journey a raging storm engulfs them, forcing the...                See full summary »",Eduardo Rossoff,33,0,Thunderstorm,Spring
6986,First Landing,History,5.7,"On the perilous journey to the new world, tensions run high between the would-be settlers of Jamestown. While more well-known settlers like John Smith, Christopher Newport and Edward ...                See full summary »",Cristobal Krusen,97,0,Thunderstorm,Spring
6987,Because of Charley,"Comedy, Drama",6.1,"An estranged racially-mixed stepfamily reluctantly gathers at a Central Florida home for an anniversary party, fully intending to keep the visit brief - but Hurricane Charley takes an unexpected turn that changes everything.",Jon Binkowski,66,0,Thunderstorm,Summer
6988,Tetri karavani,"Drama, Romance",7.0,"Against a rugged landscape and the forces of nature, a group of shepherds, led by the experienced Martia, move their flock to winter pastures. Martia's son, Gela meets Maria, a fisher girl....                See full summary »",Tamaz Meliava,96,0,Thunderstorm,Spring
6989,Dorotej,"Drama, History",7.1,"In medieval Serbia, a young monk, a master of herbal medicine, attracts the attention of a warlord's wife.",Zdravko Velimirovic,177,0,Thunderstorm,Summer
6990,Dear Claudia,"Adventure, Comedy, Romance",5.5,"A romantic comedy about a lonely postman, a desperate hitchhiker, a gifted sculptor, an infatuated pilot, a blind a sailor, a street kid, a mistress, a miner, a butcher, two thieves and a ...                See full summary »",Chris Cudlipp,357,0,Thunderstorm,Summer
6991,Birds of Passage,"Adventure, Thriller, Action",6.8,"Victims of China's ""One-Child"" policy. A Quest for freedom in the South China sea. Birds of Passage is a story of survival as a crew of renegades and a cargo of 200 orphans (all girls) with...                See full summary »",Neil Hollander,42,0,Thunderstorm,Summer
6992,Sump,"Short, Comedy, Drama",7.5,When Sally's husband is trapped in an underground cave during a diving accident she finds herself trapped in the company of a talkative constable and an unwelcome guest.,Mike Wozniak,20,0,Thunderstorm,Spring
6993,It Came from Outer Space II,"Mystery, Sci-Fi",3.8,"Aliens crashland near a small desert town, strewing odd bluish-glowing rocks throughout the area. Townfolk notice something is amiss when temperatures begin to soar, water disappears, power goes down and people seem not to be themselves.",Roger Duchowny,374,0,Thunderstorm,Spring
6994,Nun Massacre,"Action, Adventure, Fantasy",7.5,"Your daughter has fallen ill at her boarding school. As you make a trip to pick her up, a storm blows in and the road is blocked. You continue on foot through the woods and all hell soon breaks loose.",Benedetto Cocuzza,31,0,Thunderstorm,Summer
6995,Mr. Cinderella,"Comedy, Drama, Romance",6.1,"The story starts with Hakimi, a freelance scriptwriter who is on his way to send his 7-year-old daughter, Imelda, to his ex-wife's house on one stormy night. On the way there, he sees a ...                See full summary »",Ahmad Idham,66,0,Thunderstorm,Summer
6996,Después de la tormenta,Drama,6.7,"On an island two sisters are married to twin brothers.When there is a storm while the men have gone out to sea and only one brother returns, there is some uncertainty between the women as to whose husband he is.",Roberto Gavaldón,18,0,Thunderstorm,Spring
6997,Je hais les acteurs,"Comedy, Crime, Drama",5.7,"Hollywood in the 1940s. A tyrannical producer, a paranoid director, a starlet engaged twenty-four times, an actor who refuses to age - all against a backdrop of a series of murders.",Gérard Krawczyk,247,0,Thunderstorm,Spring
6998,Wild Harvest,Drama,6.5,"Joe is the head of an itinerant combine crew, working the harvests against rival crew boss Alperson. Joe's buddy Jim joins the crew with startup money. Farmer's niece Fay falls for Joe. He ...                See full summary »",Tay Garnett,142,0,Thunderstorm,Summer
6999,Vénus aveugle,"Drama, Romance",7.0,The imaginary voyage of a woman gone blind on her former lover's boat.,Abel Gance,141,0,Thunderstorm,Summer
7000,Mast Kalandar,"Action, Drama, Thriller",5.5,"Widower Rai Bahadur Pratap Singh lives a wealthy life-style with his son. He would like his son to marry some girl from a rich family, and is disappointed when he wants to marry someone ...                See full summary »",Rahul Rawail,54,0,Thunderstorm,Summer
7001,Haie und kleine Fische,"War, Drama",6.7,Four young German naval cadets begin their military service in 1940; only one of them will survive.,Frank Wisbar,189,0,Thunderstorm,Summer
7002,L'étrangleur,"Crime, Drama",6.7,"Unhappy women are being murdered by Emile (Jacques Perrin), a psychotic young man suffering from the delusion that his acts are mercy killings. The detective (Julien Guiomar) assigned to ...                See full summary »",Paul Vecchiali,244,0,Thunderstorm,Summer
7003,Vertikal,"Action, Adventure, Romance",6.9,A group of alpinists make a perilous journey up a mountain.,Boris Durov,577,0,Thunderstorm,Spring
7004,"Trigger, Jr.","Drama, Music, Western",6.0,"Evil Grant Withers lets a killer horse loose to ruin valuable horses on nearby ranches. He hopes to shake down the ranchers for his ""protection"". Roy tracks down the bad guys, but is ...                See full summary »",William Witney,231,0,Thunderstorm,Summer
7005,My Mother's Courage,"Drama, War",6.8,"The deportation of 4000 Jews from Budapest to Auschwitz in July 1944, as told by George Tabori, and how the narrator's mother escaped it, owing to coincidence, courage and some help from where you'd least expect it.",Michael Verhoeven,199,0,Thunderstorm,Spring
7006,The Flying Irishman,"Biography, Drama",5.1,"This is the story of the historic 1938 flight of Douglas 'Wrong Way' Corrigan. Mr. Corrigan starred in this film, which chronicled his infamous flight. On July 17, 1938, Mr. Corrigan loaded...                See full summary »",Leigh Jason,160,0,Thunderstorm,Summer
7007,Little Golden Book Land,"Animation, Adventure, Comedy",8.1,"A storm threatens the already-damaged harbor breakwater, and Beamer, the Lighthouse, fears for the safety of all who live in Little Golden Book Land. When Scuffy overhears Beamer sharing ...                See full summary »",Al Zegler,28,0,Thunderstorm,Summer
7008,Air Hawks,"Action, Drama, Horror",5.9,A mysterious ray that immobilizes all motors and engines threatens the security of the country.,Albert S. Rogell,183,0,Thunderstorm,Spring
7009,Murder in the Big House,"Action, Adventure, Crime",6.3,"A Death Row inmate vows to reveal damaging information about corrupt politicians on the day of his electric chair execution but he is found dead in his cell, prompting an investigation by a local reporter.",B. Reeves Eason,268,0,Thunderstorm,Summer
7010,Malý pán,"Comedy, Family, Fantasy",7.6,There was house in a cave under little hill and that was a place where Little Man lived. He was quite well there until one night - when he had a mysterious dream. He dreamed about a house ...                See full summary »,Radek Beran,69,0,Thunderstorm,Spring
7011,Milosc jest wszystkim,"Comedy, Romance",4.6,The Christmas fever of the December time starts with the arrival of an unusual Santa to the city. It will be a storm of exceptional events.,Michal Kwiecinski,254,0,Thunderstorm,Spring
7012,While the Patient Slept,"Comedy, Music, Mystery",6.1,"Known as America's Agatha Christie, leading female crime novelist Mignon Eberhart cowrote this faithful adaptation of her popular novel While the Patient Slept.",Ray Enright,421,0,Thunderstorm,Spring
7013,Sang yat fai lok,Romance,6.4,"Rene Liu successfully delivers the complex role of Mi, who chooses to remain single rather than risking the slightest chance of being dumped. She loves her friend Nan (Louis Koo) more than ...                See full synopsis »",Jingle Ma,382,0,Thunderstorm,Spring
7014,The Hide,Thriller,6.6,"On the windswept Suffolk mudflats creaks a bird-hide, inside which hovers Roy Tunt, a prematurely aged, mildly obsessive-compulsive birder. With one more sighting - the elusive sociable ...                See full summary »",Marek Losey,4626,0,Thunderstorm,Summer
7015,The Story of Santa Claus,"Animation, Adventure, Comedy",5.8,"The special presents an origin story for Santa Claus, who is depicted as a man named Nicholas Claus who wishes to give every child in the world a gift for Christmas. The elves of the North ...                See full summary »",Toby Bluth,294,0,Thunderstorm,Spring
7016,Grotto,"Short, Comedy, Drama",6.4,A 20-year-old boy returns to his hometown after a year of big changes away at school.,Dave Scala,147,0,Thunderstorm,Summer
7017,Way for a Sailor,"Romance, Drama",5.8,"Jack is a sailor who lives to go to sea. A typical sailor, he is always broke and has been in seven jails in the last seven ports. The one girl he tries to impress the most is in London and...                See full summary »",Sam Wood,609,0,Thunderstorm,Summer
7018,The Dingles,"Animation, Comedy, Family",6.3,"The Dingles are Doris and her three cats. Life is idyllic, until the day a big windstorm threatens to blow the cats away, but Doris ties the cats to her apron and manages to get inside. ...                See full summary »",Les Drew,84,0,Thunderstorm,Spring
7019,"Wynken, Blynken & Nod","Animation, Short, Family",6.8,Three sleepy babies in a clog-boat sailing through the night sky attempt to fish with candy canes for very smart fish.,Graham Heid,636,0,Thunderstorm,Summer
7020,Op hoop van zegen,"Drama, Romance",6.2,Young Barend is worried about the safety of the sailing vessel he is on. The owner is an unscrupulous and stingy man who skimps on repairs and Barend becomes aware of this. Inevitably there...                See full summary »,Guido Pieters,463,0,Thunderstorm,Summer
7021,Captain Calamity,"Action, Adventure, Crime",4.2,A South Seas skipper fights off thieves and pirates who are after a lost treasure.,John Reinhardt,150,0,Thunderstorm,Spring
7022,Skazka o rybake i rybke,"Animation, Short, Family",7.5,"The tale about an old, henpecked man whose new friend fulfills all desires of his wife.",Mikhail Tsekhanovskiy,387,0,Thunderstorm,Spring
7023,Murder in the Air,"Action, Comedy, Crime",5.4,"The corpse of a hobo with a $50,000 money belt helps Brass and Gabby crack a cell of fifth columnists bent on sabotage.",Lewis Seiler,323,0,Thunderstorm,Spring
7024,Landfall,Thriller,4.4,"A young couple in tropical Australia is trapped in their home by three fugitives carrying a mysterious icebox containing unknown contents, and they must rely on their wits and cunning to survive as a severe tropical cyclone looms.",Travis Bain,122,0,Thunderstorm,Spring
7025,Earth from Space,Documentary,8.0,"Earth from Space takes you on an epic quest to discover the invisible forces and processes that sustain life on our planet and, for the first time, see them in action in their natural ...                See full summary »",Iain Riddick,214,0,Thunderstorm,Summer
7026,Flight of the Lost Balloon,Adventure,4.6,"A professor is hired to navigate across Africa in a hot-air balloon to rescue a lost explorer, but a mysterious local villain named ""Hindu"" commandeers the balloon for his own nefarious purposes.",Nathan Juran,169,0,Thunderstorm,Spring
7027,Singapore Woman,"Drama, Romance",5.6,"A switched-locale remake of ""Dangerous (1935)"" about a jinxed, hard-luck dame , Vicki Moore (Brenda Marshall), and the men who show her that life is worth living no matter how ponderous and complicated.",Jean Negulesco,141,0,Thunderstorm,Summer
7028,Lost on Paradise Island,"Action, Adventure, Comedy",5.6,"Jimmy War Eagle is a basketball superstar flying disaster relief money to flood victims in Central America when his plane crashes in a storm. he buries the cash, and is eventually rescued ...                See full summary »",George Leszkay,17,0,Thunderstorm,Summer
7029,Nejlepsí prítel,"Comedy, Family, Fantasy",6.2,"As a punishment, Matej the Devil has to grant poor young Ondra's wishes until he says he is completely happy. But can such happiness ever be achieved? Hell has its doubts, and it seems ...                See full summary »",Karel Janák,124,0,Thunderstorm,Summer
7030,Law of the Tropics,"Drama, Music, Romance",5.8,"The telegram that Jim Comway receives states that the woman he was to marry, Laura, could not move to a country she didn't know, and marry a man she felt she no longer knew",Ray Enright,165,0,Thunderstorm,Summer
7031,Le mystère des roches de Kador,"Crime, Drama",6.6,The action takes place in Brittany .Fernand De Keranic wants to latch on to his niece and ward Suzanne's fortune.He tries to do away with her and her lover when she goes for a sail with ...                See full summary »,Léonce Perret,398,0,Thunderstorm,Summer
7032,Mor-Vran,"Documentary, Short",6.9,Jean Epstein's short documentary filmed on the Breton island of Sein.,Jean Epstein,179,0,Thunderstorm,Spring
7033,La circostanza,Drama,6.6,"Laura is a successful lawyer with fully grown children, who finds her life empty. Then a young motorcyclist has an accident in front of her. She takes him to the hospital, and he becomes the focus of her attention.",Ermanno Olmi,172,0,Thunderstorm,Summer
7034,The Wheelhouse,"Short, Drama, Horror",7.9,In the still dawn hush of a May morn two lovers push out to sea on a weather-beaten fishing trawler off the coast of Cornwall to wait out the repercussions of an illicit love affair whilst ...                See full summary »,Sean Garland,18,0,Thunderstorm,Summer
