,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
10623,La neige et le feu,"Drama, Romance, War",5.9,"Between the Liberation of Paris at the end of August 1944 and the end of the Second World War in May 1945, 9 months passed. Nurse Christiane Mercier and F.F.I. Michel Fournier falls in love each during the Liberation.",Claude Pinoteau,130,,Snow
10624,Gnade,Drama,6.7,A struggling German couple starts finding each other again after keeping as a secret about being responsible for a horrific accident.,Matthias Glasner,991,,Snow
10625,I Call First,"Comedy, Drama, History",8.3,A touching love story about a couple unable to bridge the gap between their divergent worlds.,Alexander Raye Pimentel,67,,Snow
10626,First Descent,"Documentary, Sport",7.0,"Five of the world's best snowboarders are taken to the mountains of Alaska for some outrageous ""Big Mountain"" rides.",Kemp Curly,1106,$0.74M,Snow
10627,Weasel While You Work,"Animation, Family, Short",6.9,Foghorn Leghorn and the barnyard dog both try teaming up with Willy the Weasel to get revenge on one another.,Robert McKimson,341,,Snow
10628,Assassin's Creed III: The Tyranny of King Washington,"Action, Adventure, History",6.9,"A three-part DLC series for Assassin's Creed III (2012), exploring an alternate reality in which George Washington goes mad with unlimited power, foregoing Presidency to rule as tyrannical King.",Noah Watts,487,,Snow
10629,A Very Quarantwinned Christmas,Family,8.6,"When a snowstorm strands their mom in Iowa, twin sisters Ava and Olivia wonder if they will have to spend the holidays alone. Ava loses her Christmas spirit, until a family member gets sick and she learns the true meaning of Christmas.",Ashley Leanne Somers,11,,Snow
10630,West of Here,"Drama, Music, Romance",5.1,"Finding his only escape in music, Gil Blackwell (Broken English's Josh Hamilton) decides to leave his monotonous business life in Boston when his cousin dies in a car accident. Gil ignores ...                See full summary »",Peter Masterson,145,,Snow
10631,Mémoire de glace,"Crime, Drama, Thriller",5.2,"An inspector newly transferred to the small Mount Blanc region got a strange case, of a man whose body was trapped in the ice for 15 years - and his parents thought that he was in Australia that whole time.",Pierre-Antoine Hiroz,140,,Snow
10632,Cotton Wool,"Short, Drama",8.6,A single mother (Leanne Best) suffers a devastating stroke leaving her teenage daughter (Katherine Quinn) and 7-year-old son (Max Vento) to care for her.,Nicholas Connor,34,,Snow
10633,Weekends,"Animation, Short, Drama",7.2,'Weekends' is the story of a young boy shuffling between the homes of his recently divorced parents. Surreal dream-like moments mix with the domestic realities of a broken up family in this hand-animated film set in 1980s Toronto.,Trevor Jimenez,1551,,Snow
10634,Fait d'hiver,"Short, Comedy, Drama",7.4,"On a cold winter evening a young manager gets stuck in traffic on his way home from work. He takes his brand new mobile to call his wife, not knowing that by doing so he is about to cause irreparable damage.",Dirk Beliën,828,,Snow
10635,Torneranno i prati,"Drama, History, War",6.9,A group of soldiers face the difficulty of war during one night at the Italian Front.,Ermanno Olmi,955,,Snow
10636,Snowtab in the Void,"Adventure, Comedy, Mystery",8.7,"Snowtab and his friends have been trapped in a void by a mysterious power, will they defeat it and escape?",The John Voice,34,,Snow
10637,Snowboardáci,Comedy,5.8,Two young Czech boys in Krkonose Mountains want experience holidays full of snowboarding and nice girls. But maybe won't be all how they think.,Karel Janák,993,,Snow
10638,Good Will to Men,"Animation, Short, Drama",7.0,"A group of young mice is in the ruins of a church, practicing singing for an upcoming service. After singing an adulterated version of ""Hark! The Herald Angels Sing,"" the mice wonder about ...                See full summary »",Joseph Barbera,457,,Snow
10639,When Hell Freezes,Drama,7.5,The Douglas Mawson Antarctic Expedition of 1912 is one of the most amazing feats of physical and mental endurance of all time. After an horrific journey across hundreds of kilometres of ...                See full summary »,Malcolm Mcdonald,10,,Snow
10640,Tian keng ying lie,"Adventure, Drama, Fantasy",7.5,"It's about Zhang Baoqing, a young man who came a long way to Dongbei and tried to find the cure for his teacher, but found himself might already involved in something very dangerous that seemed to connect to the mysterious sky hole.",Karry Wang,63,,Snow
10641,Midden in de winternacht,"Adventure, Drama, Family",6.2,When his father cannot make it home Max is convinced that Christmas will be extremely boring this year. But then Mr. Moose crashes through his roof and he is not so sure anymore. This is a ...                See full summary »,Lourens Blok,329,,Snow
10642,Oriento kyuukou satsujin jiken,"Crime, Drama, Mystery",6.8,"The Japanese adaption of Agatha Christie's famous whodunit ""Murder on the Orient Express"".",Mansai Nomura,191,,Snow
10643,Visages d'enfants,"Drama, Mystery, Romance",7.6,"A man whose wife has died remarries, and his new wife has a daughter of her own from a previous marriage. The man's young son, however, who loved his mother deeply and misses her terribly, ...                See full summary »",Jacques Feyder,895,,Snow
10644,Snow Birds,"Documentary, Short, Sport",6.1,"This Pete Smith Sports Champion short visits Southern California where it quickly moves from orange orchards to the mountain snow playground at Big Pines L.A. County Camp for some winter sports including sledding, skating, and ski jumping.",Jules White,105,,Snow
10645,A Scent of the Matterhorn,"Animation, Short, Comedy",6.9,"In the French Alps, an out-of-control street-painter's wagon sprays white paint onto a female cat's back, producing a stripe like that on a skunk. Pepe Le Pew, the amorous French skunk, ...                See full summary »",Chuck Jones,278,,Snow
10646,Stand Up and Fight,"Drama, History, Romance",6.4,"It starts in 1844 in Maryland, where Robert Taylor, plantation owner with slaves, is forced by debts to sell his estate and his people. Then he leaves for Cumberland, looking for a job (...                See full summary »",W.S. Van Dyke,316,,Snow
10647,The Last Blitzkrieg,"Drama, War",5.8,"The fanatical son of a Nazi General leads a squad of German commandos, disguised as American Troops, behind the lines in order to sabotage the Allied Forces. Stars Van Johnson, Kerwin Matthews, Dick York and Larry Storch.",Arthur Dreifuss,321,,Snow
10648,Snowbody Loves Me,"Animation, Short, Comedy",6.7,"A rather frozen Jerry rolls up to a cheese shop guarded by Tom; after he locks Tom out and thaws out, he carves himself a little Swiss village in a giant wheel of cheese.",Chuck Jones,484,,Snow
10649,Snow Chick: A Penguin's Tale,Documentary,7.7,"A chronicle of the birth and development of one penguin chick, born late and smaller than any of its fellow toddlers.",John Downer,271,,Snow
10650,Blåfjell 2 - Jakten på det magiske horn,"Family, Fantasy",5.1,a story that describes Bluerose as blue mountain queen who wants to get a blue trumpet located in gray mountain and want to change the severe weather. he teamed up with the king of the red mountain.,Arne Lindtner Næss,216,,Snow
10651,"Fuck You, It's January!!!",Comedy,9.3,Mike and Jay semi-annually discuss January being a dumping ground for cinematic releases.,Mike Stoklasa,21,,Snow
10652,Opasni trag,"Crime, Thriller",7.1,A small group of Albanians are hunted by nationalist Yugoslav forces.,Miomir 'Miki' Stamenkovic,75,,Snow
10653,Three Orphan Kittens,"Animation, Comedy, Family",6.8,"Three orphan kittens are entering a society house in winter and ruin the furniture. But when they're caught by the maid, the young daughter of the house ""rescues"" them from the cold out outside.",David Hand,1247,,Snow
10654,A Snow White Christmas,"Adventure, Animation, Family",5.9,"The wicked queen creates an ice storm meant to get rid of the younger Snow White, but instead freezes the whole village just barely missing her. Snow White travels to the land of the Seven ...                See full summary »",Kay Wright,176,,Snow
10655,Pluto's Sweater,"Animation, Short, Comedy",6.6,"Minnie Mouse knits a sweater for Pluto. When she puts it on him, Pluto does whatever he can to try to get it off, eventually shrinking it to the perfect size for Figaro.",Charles Nichols,678,,Snow
10656,"Yes, Virginia","Animation, Adventure, Comedy",7.1,An eight-year-old girl living in New York City in 1897 learns about belief and Christmas when her classmates question if Santa is even real.,Pete Circuitt,565,,Snow
10657,Nejasná zpráva o konci sveta,"Fantasy, Mystery",7.0,"In a tiny Central European village, voracious wolves kill the members of a ceremony, except the bride who is saved by the 10-year-old groom's brother. That day, she gives birth to a girl ...                See full summary »",Juraj Jakubisko,350,,Snow
10658,Hare Force,"Animation, Short, Adventure",7.1,On a cold snowy night a frozen Bugs gets taken in by a kind old lady and set by the fireplace. The woman's dog can only think of ways to kill the rabbit and a war begins between the two for who gets the boot outside to the shivering cold.,Friz Freleng,731,,Snow
10659,Nothingwood,Documentary,6.9,"French documentarist Sonia Kronlund follows actor and director Salim Shaheen, an Afghan movie star who produced more than 110 low-budget movies in a country devastated by war.",Sonia Kronlund,318,,Snow
10660,"That's It, That's All.","Documentary, Adventure, Sport",8.3,"Dedicated to everything snow-boarding, Travis Rice and a dream team crew set out on a seek-and-destroy operation for the new zone, the new trick and the new perspective on the sport.",Curt Morgan,1094,,Snow
10661,Hana to dotô,"Action, Crime",6.6,"Another subversion of audience expectations has Kobayashi acting somewhat cowardly in the snow-bound final showdown, an unheard-of trait in a ninkyô yakuza hero. Also with Tamio Kawaji as a sword-wielding assassin in Zero-cape-and -hat(!)",Seijun Suzuki,256,,Snow
10662,Fei chang wan mei,"Comedy, Romance",5.9,"Two ex-lovers work together to win back their lost loves, but not everything goes according to plan.",Eva Jin,1399,,Snow
10663,Qu'importe si les bêtes meurent,"Short, Sci-Fi",6.7,"Abdellah, a young shepherd living in the mountains, is forced to brave the snow blocking him in order to get food and save his cattle. Once he gets to the village, he faces a supernatural phenomenon.",Sofia Alaoui,137,,Snow
10664,Dvostruki obruc,"Action, Thriller, War",7.3,Treachery and escape from agents provocateurs of underground workers among the early days of national rising in Croatia.,Nikola Tanhofer,91,,Snow
10665,Eres mi héroe,"Comedy, Drama",7.0,Everyday coming-of-age issues mirror the political goings on in the days before Franco's 1975 demise.,Antonio Cuadri,377,,Snow
10666,Spaced Out Bunny,"Animation, Sci-Fi, Family",6.2,"Marvin the Martian and Hugo, the abominable snowman, capture the earth creature Bugs Bunny.",Chuck Jones,329,,Snow
10667,Joe's So Mean to Josephine,"Crime, Drama, Romance",6.2,A man and woman meet and find out they have trouble with their relationship.,Peter Wellington,328,,Snow
10668,A Disney Christmas Gift,"Animation, Comedy, Family",6.9,Compilation of eight segments tied to Christmas or winter in some small or big way from eight Disney features and shorts. Between the segments shots from Disneyland and of Disney toys are shown while narrators sing about the next clip.,Kenny Baker,116,,Snow
10669,Warszawa,Drama,6.1,"On an ordinary winter's day, various people from outside Warsaw come to the Polish capital city for different reasons. They all have something to deal with, and their paths eventually intertwine.",Dariusz Gajewski,461,,Snow
10670,Soul Boys of the Western World,"Documentary, Biography, Music",6.9,"A documentary about Spandau Ballet, who were one of the biggest pop groups of the 1980s and a defining act of the New Romantic scene.",George Hencken,594,,Snow
10671,A Silent Love,"Comedy, Drama, Romance",6.7,"Through an Internet service, a Montreal professor arranges for himself a Mexican bride. But both husband and wife, even with their good intentions, are in for a bumpy ride toward marital harmony.",Federico Hidalgo,161,,Snow
10672,Teletubbies: Christmas in the Snow,Animation,4.7,The Teletubbies celebrated Christmas in the snow.,Vic Finch,56,,Snow
10673,Sharmeelee,"Mystery, Musical, Romance",6.9,"An army captain falls for an outgoing young woman, but unknowingly weds her shy twin sister.",Samir Ganguly,175,,Snow
10674,Steep,"Documentary, Sport",7.2,Steep traces the legacy of extreme skiing from its early pioneers to the daredevils of today.,Mark Obenhaus,692,$0.26M,Snow
10675,Major Dron and the plague doctor,"Action, Adventure, Comedy",7.9,"A vengeful beer plague doctor named PivonEsco commits a series of brutal murders. To understand this difficult story is entrusted to Major Dron, for whom this business is also of a personal nature.",Sergey A.,1047,,Snow
10676,Hot Flash,"Animation, Short",7.1,"A newscaster is due to go live on local television in the middle of a hot flash, in Thea Hollatz's animated comedy about a woman trying to keep her cool when one type of flash leads to another.",Thea Hollatz,29,,Snow
10677,And So They Were Married,"Comedy, Romance",6.0,"A bitter divorcée and a grumpy widower find themselves stuck in a hotel that is cut off from the outside by a snowstorm. Although neither intends to get married again, they begin to fall ...                See full summary »",Elliott Nugent,462,,Snow
10678,The Manor,Documentary,6.9,"An intimate portrayal of a peculiar Jewish family running a small town strip club, while attempting to nurse their relationships and themselves back to health.",Shawney Cohen,228,,Snow
10679,Gekijôban Shirobako,"Animation, Comedy, Drama",7.1,Aoi Miyamori must lead a theatrical production at Musashino Animation.,Tsutomu Mizushima,235,,Snow
10680,Watashi no otoko,"Crime, Drama, Romance",6.3,"After losing everything in a tsunami, 10-year-old Hana is taken in by 26-year-old distant relative Jungo Kusarino. They live as father and daughter but share a profound sense of loss. Jungo...                See full summary »",Kazuyoshi Kumakiri,677,,Snow
10681,La peur,"Drama, War",5.5,"A young soldier testifies of his thoughts about the first world war, between disillusion, fear and hate, following his path through the letters he sends to his lover.",Damien Odoul,261,,Snow
10682,Miracle on Highway 34,"Drama, Family",5.9,A set of diverse characters wind up together in an old diner in a small town on Christmas Eve during a snowstorm while a young expectant couple tries to make it home on a night that's anything but silent.,Nathan Clarkson,123,,Snow
10683,American Promise,Documentary,7.1,This intimate documentary follows the 12-year journey of two African-American families pursuing the promise of opportunity through the education of their sons.,Joe Brewster,289,$0.09M,Snow
10684,Tuer l'indien dans le coeur de l'enfant,"Documentary, History",7.3,The indigenous population of Canada fell victim to a cultural genocide. The re-education was cruel until 1996: children were torn from their parents and taken to boarding schools. These ...                See full summary »,Gwenlaouen Le Gouil,35,,Snow
10685,Melody Cruise,"Comedy, Musical, Romance",6.0,A popular playboy goes on a cruise from New York in winter to California. He brings a friend to keep him from getting too serious with any of the many eligible women on the cruise. The plot...                See full summary »,Mark Sandrich,354,,Snow
10686,Arctic Warriors,"Action, Adventure",5.2,Add a Plot,Michael James,16,,Snow
10687,American Murder Song,"Crime, Horror, Music",8.5,"In 1816, two Blood Travelers play a game of chance and bring to life a gallery of American killers.",Saar Hendelman,48,,Snow
10688,"Irina, la mallette rouge",Drama,2.5,"Bosnia, 1995. Violence among ethnic groups persists in the aftermath of a civil war. Chased by some militiamen, 9-year-old Irina and her father fled. Her father, hit by a sniper's shot, ...                See full summary »",Bernard Mazauric,12,,Snow
10689,Hallelujah the Hills,Comedy,6.2,"After courting a woman called Vera for seven years, friends Jack and Leo decide to seclude themselves in the Vermont woods near her home, when she finally decides to accept a third man called Gideon.",Adolfas Mekas,205,,Snow
10690,Snowed In,"Drama, Horror, Thriller",4.4,Seven snowboarders trek deep into the Cascade Mountains and become desperately lost as they are hunted by a school shooter.,Jake Love,11,,Snow
10691,The Blizzard of AAHHH's,"Documentary, Sport",8.3,"This is Greg Stump's legendary rockumentary-style ski film that put him and, ultimately, extreme skiing on the map with the spotlight on some the sport's hottest stars in some of the ...                See full summary »",Greg Stump,129,,Snow
10692,As the Earth Turns,"Drama, Romance",6.2,Drama following the lives of an immigrant farm family in Maine.,Alfred E. Green,242,,Snow
10693,Fortuna,"Drama, Romance",6.3,"Fortuna, a 14-year-old Ethiopian girl, has had no news of her parents since arriving in Lampedusa, Italy. Together with other refugees, she is given shelter for the winter in a Swiss ...                See full summary »",Germinal Roaux,296,,Snow
10694,Banarasi Babu,"Drama, Thriller",6.8,"Orphaned Sohan Lal is a wealthy businessman based in Bombay. While on vacation in Kashmir, he meets with beautiful Neela, and after a few misunderstandings both fall in love, and get ...                See full summary »",Shankar Mukherjee,90,,Snow
10695,Himitsu no Akko-chan,"Comedy, Fantasy, Romance",5.7,Young Atsuko Kagami comes into possession of a magical mirror that lets her transform into anything she wishes. Atsuko Kagami then attempts to save a company which is about to be sold by ...                See full summary »,Yasuhiro Kawamura,325,,Snow
10696,Hellhounds,"Adventure, Drama, Fantasy",7.1,"A first person account of Ross Graves, an alcoholic drifter who is constantly hunted by demonic bounty hunters and a spiritual being to whom he sold his soul.",Eric Widing,37,,Snow
10697,Osebna prtljaga,"Drama, Thriller",6.7,"The breathtaking opening vistas of Personal Baggage, with a choral score to match, give fair but subliminal warning to the audience: this film will twist you and turn you. A talented but ...                See full summary »",Janez Lapajne,133,,Snow
10698,O' Christmas Tree,"Animation, Family, Musical",6.0,"Featuring the voices of Edward Asner, Tim Conway and Marie Osmond, this tale is set in a snowy forest on Christmas Eve where a forlorn pine tree feels she is too homely to ever realize her dream of becoming a real Christmas tree.",Bert Ring,126,,Snow
10699,Isöken,Documentary,6.0,"Three Frenchmen go out on their first polar expedition to the largest polar desert in the world. Sarek, in the north of Sweden.",Flavien Hillat,50,,Snow
10700,Omega 'Die Another Day' Television Commercial,"Short, Action, Adventure",7.1,A commercial for the Omega watch featuring clips from 'Die Another Day'.,Pierce Brosnan,29,,Snow
10701,The Oxbow Cure,"Drama, Horror, Sci-Fi",6.0,A woman retreats to a lonely cabin in the woods in order to wrestle with her demons and the debilitating ailment that plagues her.,Yonah Lewis,102,,Snow
10702,Perfidia,"Drama, Thriller",4.7,A man arrives at a hotel located in the mountains of New York to meditate on a decision that is about to change his destiny: A reckoning.,Rodrigo Bellott,210,,Snow
10703,Présentation ou Charlotte et son steak,"Comedy, Short, Romance",6.0,"Two young people, Walter and Charlotte, are walking through a small village in Switzerland a snowy winter day. Walter introduces Charlotte to Clara, hoping to make Charlotte jealous. After ...                See full summary »",Éric Rohmer,1314,,Snow
10704,Shining Time Station: 'Tis a Gift,"Comedy, Family, Fantasy",8.1,"It's Christmas at Shining Time Station. Stacy Jones is busy helping passengers, Schemer tries to win the role of Santa's helper for the Indian Valley Gala Holiday Pageant, Mr. Conductor ...                See full summary »",Gregory Lehane,57,,Snow
10705,The Selfish Giant,"Animation, Short",7.2,"A giant builds a wall to keep children out of his garden, but then winter sets in permanently.",Peter Sander,346,,Snow
10706,Pogled u zjenicu sunca,"Drama, War",7.1,Four partisans in the mountains and suffering from typhus are slowly destroyed.,Veljko Bulajic,55,,Snow
10707,V sporte tolko devushki,"Comedy, Sport",4.3,"The film begins on the eve of the 2014 Olympics in Sochi. When three 18-year-old students at a prestigious University - Mika (Alexander Vedmensky), Kit (Ilya Glinnikov), and Swift (...                See full summary »",Evgeniy Nevskiy,404,,Snow
10708,Kaze no iro,"Drama, Romance",5.5,"Before Ryo's girlfriend dies, she tells him that a woman who looks identical to her is in Hokkaido. To find out, Ryo travels to Hokkaido.",Jae-young Kwak,192,,Snow
10709,Münsters fall,"Crime, Drama, Mystery",5.9,"When the body of a wealthy wine merchant washes up on a beach with multiple stab wounds, police fear a media frenzy. But the quick arrest of the man's former partner in the face of damning evidence promises a quick resolution to the case.",Rickard Petrelius,394,,Snow
10710,Ábel a rengetegben,"Comedy, Drama, Family",7.3,Add a Plot,Sándor Mihályfy,168,,Snow
10711,Terre des ours,Documentary,7.0,"Set in the wilderness of the Kamchatka Peninsula, the land of legends and the kingdom of wild brown bears, we follow the daily adventures of five wild brown bears.",Guillaume Vincent,372,,Snow
10712,Floaty,Drama,,"The son of an Italian sculptor endures the deranged behavior of his stepmother and a series of mishaps, preceding a banquet honoring his father's legacy.",Miko Hughes,,,Snow
10713,Coup de foudre à Noël,"Comedy, Drama, Romance",6.0,Charlotte Marton is a young judicial manager who's dreaming about others horizons in her private and professional life. At the end of December she has been asked by the office to go to ...                See full summary »,Arnauld Mercadier,297,,Snow
10714,The Jump,"Reality-TV, Sport",5.8,Celebrities compete in a host of winter sports to see who can get the best time. Each episode the two with the worst times face elimination from...The Jump.,Davina McCall,31,,Snow
10715,Shenmue: The Movie,"Action, Adventure, Crime",7.1,Follow Ryo Hazuki as he attempts to track down the man responsible for his father's death.,Yu Suzuki,354,,Snow
10716,"Here, There & Everywhere","Documentary, Sport",7.7,"For our 67th annual ski and snowboard film, we're revisiting some of Warren's favorite places, from Switzerland to Montana, Greenland and everywhere in between, we went where our legacy took us. We went Here, There, & Everywhere.",Chris Patterson,9,,Snow
10717,Citizen Duane,Comedy,5.2,Duane Balfour is a teen-aged Don Quixote born into a family of spectacular failure. What starts as a simple schoolyard rivalry snowballs out of control when Duane decides to run for mayor of the tiny town of Ridgeway.,Michael Mabbott,277,,Snow
10718,Stolen Heart,"Comedy, Crime, Drama",6.1,A trio of small-time hoods decide to go for the big time by kidnapping the daughter of a rich self-help guru. The kidnapping goes awry and the whole group find themselves in the midst of a family relationship problem.,Terry O'Brien,67,,Snow
10719,Sled Storm,Action,8.2,"The game features snowmobiles (referred to as sleds), stunts and fourteen snow-covered courses consisting of slippery slopes, inclement weather and treacherous cliffs. Six racers were ...                See full summary »",Heidi Ernest,49,,Snow
10720,Dragons: Rescue Riders: Huttsgalor Holiday,"Animation, Family",5.0,"Odinyule, the feast of the Vikings sharing, begins with the snow. But if the Rescue Team does not step in, perhaps the tradition will be canceled due to extreme weather conditions.",Greg Rankin,141,,Snow
10721,The A-Tom-inable Snowman,"Animation, Short, Adventure",6.0,Tom chases Jerry through a variety of winter scenes.,Abe Levitow,402,,Snow
10722,The Littlest Light on the Christmas Tree,"Short, Family",3.7,"Christmas is the time for love, peace and friendship. When Emmanuel, the money loving shop owner who doesn't see the real reason for Christmas throws out a faulty ligh and an angel. Timothy...                See full summary »",Anthony Gentile,144,,Snow
10723,Disney's Beauty and the Beast,"Action, Adventure, Fantasy",6.1,"As Beast, beat the game before all rose petals fall off in this side-scrolling action platformer based on Disney's Beauty and the Beast (1991) with levels loosely based on locations from the movie that match its look and style.",Paige O'Hara,31,,Snow
10724,Snowfever,"Comedy, Romance",4.2,"A ""Costa!"" story among snowboarders in an Austrian ski resort.",Pim van Hoeve,815,,Snow
10725,Debout sur la montagne,"Adventure, Comedy, Drama",5.8,"Hugo, Stan and Bérénice grew up together then grew apart. Now, 15 years later, they meet again in the mountain village of their childhood to bury Hugo's brother. The reunion will mark the beginning of an adventure and a new life.",Sébastien Betbeder,163,,Snow
10726,Tin yu dei,Drama,8.4,"In their youth Joe, Angus, Ronnie and Ka Ming are good friends and band mates. During a mountaineering trip, the four are stranded on a snow bound mountain.",Charmaine Sheh,197,,Snow
10727,Schmetterlinge weinen nicht,"Comedy, Drama",4.2,"In their wintry snowy resort, the financially notoriously clammy girlfriends Cecily and Laura see from their hotel window the established Munich businessman Karl Engelmann, a middle-aged man, with his BMW ancestor.",Klaus Überall,24,,Snow
10728,Les particules,"Drama, Fantasy, Mystery",5.3,"As winter sets in and P.A. sees the world shifting around him, he starts to observe strange phenomena in the environment. The changes are imperceptible at first, but gradually his whole world seems to be on the brink.",Blaise Harrison,307,,Snow
10729,Mickey's Orphans,"Family, Comedy, Animation",6.4,"At Christmastime, Mickey Mouse, Minnie and Pluto are beset by an enormous litter of bratty orphan cats.",Burt Gillett,874,,Snow
10730,Julenatt i Blåfjell,"Adventure, Family, Fantasy",5.7,"Princess Fjellrose has never been outside the safe mountain, until her father is sick and dying. Only humans down in the valley can save him. She goes on a dangerous journey, and put their world in danger, in spite of her good intentions.",Katarina Launing,571,,Snow
10731,Girl on Fire,"Short, Drama, Fantasy",,A snow storm brings back memories of childhood and the realization of adulthood for the girl wandering in the snow.,Derek Shane Garcia,,,Snow
10732,The Second Victory,"Drama, War",6.0,"After the end of WW2, a lone elusive skier from the German Mountain Troops continues to kill British Occupation Forces personnel, prompting a joint British-German manhunt operation to capture him.",Gerald Thomas,61,,Snow
10733,Face to Face,"Drama, Horror, Romance",5.1,"Japanese horror starring Stephen Fung as a man who dies in a skiing accident, only for his best friend to marry his wife and inherit his fortune. Supernatural hijinks ensue.",Casey Chan,15,,Snow
10734,Lion,"Short, Horror",7.8,An isolated chalet in a snowy forest... A man blinded by alcohol... A woman unable to rebel... And an 8-year-old child troubled and dark... The silent night is broken with cries... the start of a terrible nightmare!,Davide Melini,33,,Snow
10735,Fuyu no semi,"Animation, Drama, History",7.2,"It is the late Tokugawa period and tensions between the Bakufu and Choshu clan are arguing trying of how to deal with foreigner in Japan. Touma Kusaka, a member of the Choshu clan wants ...                See full summary »",Toshiyuki Morikawa,38,,Snow
10736,Fresh Hare,"Family, Animation, Short",7.0,"In the Canadian North Woods, Bugs is wanted dead or alive and Elmer is out to bring him in.",Friz Freleng,751,,Snow
10737,Adama,"Animation, Adventure, Drama",6.7,"When his brother runs away to join the army during WWI, a young African boy stows away on a ship and travels to Europe in an effort to locate him.",Simon Rouby,344,,Snow
10738,The Legend of Alfred Packer,"Adventure, Biography, Drama",5.1,Based on a true story of Colorado's only convicted killer/cannibal Alfred Packer.,James W. Roberson,76,,Snow
10739,Xue shan fei hu,"Action, Drama",7.9,Love and hatred of several families around the snow mountain about loyalty and betrayal.,Fei Meng,14,,Snow
10740,That's Wild,Documentary,8.2,"An award-winning documentary that tells the inspiring journey of three underserved teenage boys from Atlanta who attempt to climb four 12,000 ft snow-capped peaks in the heart of the Colorado wilderness.",Michiel Thomas,66,,Snow
10741,Peter och Petra,Family,5.0,"Peter and Petra are two young children. Two small, small children. No bigger than two little dolls. They belong to the Little People, but their mother and father also think that the Little People need to learn to read and write.",Agneta Elers-Jarleman,221,,Snow
10742,Rock N' Roll Racing,"Action, Music, Sci-Fi",8.0,Arcade car combat racing game and unofficial sequel to RPM Racing. The racers come from various planets and are often parodies of rock musicians. Destroyed cars respawn. Soundtrack consists of five classic rock songs (six on the Genesis).,Larry Huffman,113,,Snow
10743,The Sweater,"Animation, Short, Biography",7.1,A French Canadian boy endures the terrible shame when he receives the hockey sweater of the wrong team.,Sheldon Cohen,812,,Snow
10744,Feral,"Animation, Short, Drama",6.4,"A wild boy is found in the woods by a solitary hunter and brought back to civilization. Alienated by a strange new environment, the boy tries to adapt by using the same strategies that kept him safe in the forest.",Daniel Sousa,964,,Snow
10745,Ajooba Kudrat Ka,"Action, Adventure, Fantasy",4.9,In the snowy Himalayan regions a little girl Sasha befriends a Yeti when the news comes out through media the goons plan to kidnap Yeti and take him out of the country to earn more money.,Shyam Ramsay,37,,Snow
10746,Star Wars: The Empire Strikes Back,"Action, Adventure, Sci-Fi",7.3,Add a Plot,James Gleason,167,,Snow
10747,Ain't We Got Fun,"Family, Animation, Short",6.3,"The cat's asleep, so the mice are on the loose, for a while at least, in the pantry. When he wakes up, they pile the food on him and get him thrown out, and then they *really* have the run of the house.",Tex Avery,313,,Snow
10748,Tree Cornered Tweety,"Animation, Family, Short",6.8,"Sylvester Cat chases Tweety Bird while Tweety narrates. The chase takes them out of the city to the country, straight into a mine field, down a ski slope, and to the middle of a wooden ...                See full summary »",Friz Freleng,235,,Snow
10749,Strzepy,Drama,7.0,"The Pateroks are a loving, multi-generational family. Their lives are peaceful and humorous. Suddenly a crack appears in this harmonious reality: Grandpa Gerard begins to act strangely, ...                See full summary »",Beata Dzianowicz,21,,Snow
10750,The Sno Cone Stand Inc,Comedy,6.2,"A couple of fresh-out-of-college stock broker trainees are frustrated with their new corporate jobs, so they try to overthrow their boss, Mr. Bob, and open their own snow cone business.",Travis Knapp,45,,Snow
10751,I'm Dreaming of a White Doomsday,"Drama, Horror, Mystery",4.3,A mother and her 8 year old son struggle to survive in a bomb shelter after an unnamed apocalypse.,Mike Lombardo,296,,Snow
10752,Pervorossiyanye,Drama,7.3,"Workers establish the first agricultural commune. In spite of the hostility of the local White Army the workers build houses, cultivate land. The poor peasants are turning towards the commune. However, White Army take vengeance on them.",Aleksandr Ivanov,70,,Snow
10753,Optimistene,"Documentary, Drama, Family",7.8,"A documentary about an unusual volleyball team in Hamar, Norway, with ladies aged from 66 to 98. Now they are up for their first match, after 30 years of training.",Gunhild Magnor,190,,Snow
10754,Donald's Snow Fight,"Animation, Short, Comedy",7.9,"Donald Duck, in a battleship made of ice, goes to war against his three nephews, who fight back from their ice fort.",Jack King,2170,,Snow
10755,Recon 2022: The Mezzo Incident,Sci-Fi,2.3,"After the gruesome events on Caprini, Sharp (Anderson Bradshaw) and his elite team of tough, witty and trigger happy space Marines must now head out to the icy planet Mezzo to investigate further Ma'har activities. What they will encounter will defy their imaginations as they tackle giant man eating snow worms, an underground city of Cyborgs, a slew of murderous alien entities and maybe, finally,...                See full summary »",Christian Viel,533,,Snow
10756,Praznik,"Drama, War",7.2,"In a Serbian village on Christmas Day in 1943, the Chetniks accept two downed American pilots and give them hospitality. However, finding out that the Germans are looking for pilots, the ...                See full summary »",Djordje Kadijevic,174,,Snow
10757,Bikes & Bras,"Drama, Fantasy, Reality-TV",8.2,"Five vignettes in which a massively endowed topless model fixes, washes and rides her motorcycle in a garage, runs out of gasoline, encounters skiers and Santa Claus in the snow and tries on brassieres with another busty model.",Bernd Daktari Lorenz,8,,Snow
10758,The Wild Puffalumps,"Animation, Short, Adventure",7.0,"Two children visit an island inhabited by Puffalumps, leading to a wild adventure.",Alan Bunce,31,,Snow
