,Weather,Track Name,Artist,Album,Image,Popularity,Season
85,Fog,Flume,Bon Iver,"For Emma, Forever Ago",https://i.scdn.co/image/ab67616d0000b2730b1993db92eecc2dd5021293,0,Spring
86,Fog,Holocene,Bon Iver,Bon Iver,https://i.scdn.co/image/ab67616d0000b273567b0a6defc057bcbfaedadb,0,Spring
87,Fog,Evermore,Miso,Metanoia,https://i.scdn.co/image/ab67616d0000b273ef581e075515a024d0b2ee17,33,Autumn
88,Fog,Falling for You,Cedars Mind,Falling for You,https://i.scdn.co/image/ab67616d0000b273c3ad7bb87cc256c27a4dd678,0,Spring
89,Fog,Beach Baby,Bon Iver,Blood Bank,https://i.scdn.co/image/ab67616d0000b273a069fb06a202435c01137a88,0,Autumn
90,Fog,In Time,Talos,Wild Alee (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273088528af8fd57225ca86f37d,40,Autumn
91,Fog,Alps,Novo Amor,Alps,https://i.scdn.co/image/ab67616d0000b2734b5520945b370fffcb3809fd,64,Autumn
92,Fog,Forever,Labrinth,Euphoria (Original Score from the HBO Series),https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867,75,Autumn
93,Fog,Calico,Haux,Calico,https://i.scdn.co/image/ab67616d0000b2731560c9492dfb3b340f22d872,59,Spring
94,Fog,School Rooftop - Slowed Down Version,Hisohkah,School Rooftop (Slowed Down Version),https://i.scdn.co/image/ab67616d0000b2736b30ef59032f0c0f5777b4a0,0,Spring
95,Fog,you not the same - slowed down version,TileKid,you not the same (slowed down version),https://i.scdn.co/image/ab67616d0000b273c0ec47e65a12668b66761878,0,Spring
96,Fog,there is light in us - slowed down version,Mathbonus,there is light in us (slowed down version),https://i.scdn.co/image/ab67616d0000b273b579e44e681f204dbf947b1c,0,Spring
97,Fog,Let Go,Ark Patrol,Let Go,https://i.scdn.co/image/ab67616d0000b27364840995fe43bb2ec73a241d,67,Spring
98,Fog,You're Somebody Else,flora cash,You're Somebody Else,https://i.scdn.co/image/ab67616d0000b2737cbff64cfbc9d47a2af95967,73,Spring
99,Fog,Earthquake,FKJ,Ylang Ylang EP,https://i.scdn.co/image/ab67616d0000b273b30fe987d1a3fed2a36f4c5d,41,Autumn
100,Fog,Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,https://i.scdn.co/image/ab67616d0000b27339372cb9fc75f395a5090a8d,85,Spring
101,Fog,YKWIM? {slow//reverb},Ryan Celsius Sounds,YKWIM? {slow//reverb},https://i.scdn.co/image/ab67616d0000b2730a228024c2551f7ea07d879c,66,Autumn
102,Fog,Young And Beautiful,Lana Del Rey,Young And Beautiful,https://i.scdn.co/image/ab67616d0000b273d7fb3e4c63020039d1cff6b2,85,Spring
103,Fog,My Tears Are Becoming A Sea,M83,"Hurry Up, We're Dreaming",https://i.scdn.co/image/ab67616d0000b273fff2cb485c36a6d8f639bdba,62,Spring
104,Fog,Mrs Magic,Strawberry Guy,Mrs Magic,https://i.scdn.co/image/ab67616d0000b273c7bf2d32338df6a5ba68d3a5,0,Autumn
